name,parameters_bn,display_name,url,baseline,description,style,tags,instruct_format,settings
codellama/CodeLlama-7b-Instruct-hf,7,,https://huggingface.co/codellama/CodeLlama-7b-Instruct-hf,,,generalist,,,
coder3101/Qwen3.5-27B-heretic,27,,https://huggingface.co/coder3101/Qwen3.5-27B-heretic,Qwen/Qwen3.5-27B,"This is a decensored version of Qwen/Qwen3.5-27B, made using Heretic v1.2.0 with Magnitude-Preserving Orthogonal Ablation (MPOA)",chat,,,
coder3101/Qwen3.5-35B-A3B-heretic,18,,https://huggingface.co/coder3101/Qwen3.5-35B-A3B-heretic,Qwen/Qwen3.5-35B-A3B-Base,,generalist,,,
cognitivecomputations/dolphin-2.9-llama3-8b,8,,https://huggingface.co/cognitivecomputations/dolphin-2.9-llama3-8b,,,generalist,,,
cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,12,,https://huggingface.co/cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,,,generalist,,,
cognitivecomputations/dolphin-2.9.4-gemma2-2b,2,,https://huggingface.co/cognitivecomputations/dolphin-2.9.4-gemma2-2b,,,generalist,,,
CohereForAI/c4ai-command-a-03-2025,111,,,,,generalist,,,
CohereForAI/c4ai-command-r-08-2024,32,,,,,generalist,,,
CohereForAI/c4ai-command-r-plus-08-2024,104,,,,,generalist,,,
CohereForAI/c4ai-command-r-plus,104,,https://huggingface.co/CohereForAI/c4ai-command-r-plus,,,generalist,,,
CohereForAI/c4ai-command-r-v01,35,,https://huggingface.co/CohereForAI/c4ai-command-r-v01,,,generalist,,,
concedo/Beepo-22B,22,,https://huggingface.co/concedo/Beepo-22B,mistralai/Mistral-Small-Instruct-2409,Decensored finetune of Mistral Small 22B that attempts to keep its intelligence/instruct capabilities.,generalist,,Alpaca,
crestf411/daybreak-kunoichi-2dpo-7b,7,,https://huggingface.co/crestf411/daybreak-kunoichi-2dpo-7b,,,generalist,,,
crownelius/Crow-9B-Opus-4.6-Distill-Heretic_Qwen3.5,9,,https://huggingface.co/crownelius/Crow-9B-Opus-4.6-Distill-Heretic_Qwen3.5,Qwen/Qwen3.5-9B-Base,Flagship Intelligence. Featherweight Footprint. Meticulously distilled from Claude Opus 4.6 into a highly efficient Qwen 3.5 architecture.,chat,generalist,,
Darkhn/GLM-Air-4.5-106B-Animus-V12.1,53,,https://huggingface.co/Darkhn/GLM-Air-4.5-106B-Animus-V12.1?not-for-all-audiences=true,zai-org/GLM-4.5-Air,"V12.1's strength comes from a novel dataset designed to teach the model the why behind the lore, not just the what.",chat,roleplay,,
DatToad/Chuluun-Qwen2.5-32B-v0.01,32,,,,,generalist,,,
DatToad/Chuluun-Qwen2.5-72B-v0.01,72,,,,,generalist,,,
DatToad/Chuluun-Qwen2.5-72B-v0.08,72,,,,,generalist,,,
DavidAU/Psyonic-Cetacean-Ultra-Quality-20b,20,,https://huggingface.co/DavidAU/Psyonic-Cetacean-Ultra-Quality-20b-GGUF,,,generalist,,,
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,16,,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,,,generalist,,,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8,,,,,generalist,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,32,,,,,generalist,,,
deepseek-ai/DeepSeek-V2.5-1210,236,,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210,,,generalist,,,
deepseek-ai/DeepSeek-V3-Base,243,,,,,generalist,,,
deepseek-ai/DeepSeek-V3,243,,,,,generalist,,,
digitous/GPT-R,6,,https://huggingface.co/digitous/GPT-R,,,generalist,,,
digitous/Janin-R,6,,https://huggingface.co/digitous/Janin-R,,,generalist,,,
digitous/Javelin-R,6,,https://huggingface.co/digitous/Javelin-R,,,generalist,,,
Doctor-Shotgun/MS3.2-24B-Magnum-Diamond,24,,,,,generalist,roleplay,Mistral v7 Tekken,
DreadPoor/Famino-12B-Model_Stock,12,,https://huggingface.co/DreadPoor/Famino-12B-Model_Stock,,,chat,roleplay,Mistral,
DreadPoor/Irix-12B-Model_Stock,12.2,,https://huggingface.co/DreadPoor/Irix-12B-Model_Stock,yamatazen/EtherealAurora-12B-v2,,chat,roleplay,Mistral,
DreadPoor/Smoothie-12B-Model_Stock,12,,https://huggingface.co/DreadPoor/Smoothie-12B-Model_Stock,DreadPoor/Ward-12B-Model_Stock,,chat,roleplay,Mistral,
dreamgen/opus-v1.4-70b-llama3,70,,https://huggingface.co/dreamgen/opus-v1.4-70b-llama3-gguf,,,generalist,,,
ehartford/Wizard-Vicuna-13B-Uncensored,13,,https://huggingface.co/cognitivecomputations/Wizard-Vicuna-13B-Uncensored,,,generalist,,,
ehartford/Wizard-Vicuna-7B-Uncensored,7,,https://huggingface.co/cognitivecomputations/Wizard-Vicuna-7B-Uncensored,,,generalist,,,
ehartford/WizardLM-1.0-Uncensored-Llama2-13b,13,,https://huggingface.co/cognitivecomputations/WizardLM-1.0-Uncensored-Llama2-13b,,,generalist,,,
ehartford/WizardLM-13B-Uncensored,13,,,,,generalist,,,
ehartford/WizardLM-13B-V1.0-Uncensored,13,,https://huggingface.co/cognitivecomputations/WizardLM-13B-V1.0-Uncensored,,,generalist,,,
ehartford/WizardLM-30B-Uncensored,33,,https://huggingface.co/cognitivecomputations/WizardLM-30B-Uncensored,,,generalist,,,
ehartford/WizardLM-33B-V1.0-Uncensored,33,,,,,generalist,,,
ehartford/WizardLM-7B-Uncensored,7,,https://huggingface.co/cognitivecomputations/WizardLM-7B-Uncensored,,,generalist,,,
EleutherAI/gpt-j-6B,6,,https://huggingface.co/EleutherAI/gpt-j-6b,,,generalist,,,
EleutherAI/gpt-neo-1.3B,1.3,,https://huggingface.co/EleutherAI/gpt-neo-1.3B,,,generalist,,,
EleutherAI/gpt-neo-125M,0.125,,https://huggingface.co/EleutherAI/gpt-neo-125m,,,generalist,,,
EleutherAI/gpt-neo-2.7B,2.7,,https://huggingface.co/EleutherAI/gpt-neo-2.7B,,,generalist,,,
EleutherAI/gpt-neox-20b,20,,https://huggingface.co/EleutherAI/gpt-neox-20b,,,generalist,,,
EleutherAI/pythia-1.3b-deduped,1.3,,,,,generalist,,,
EleutherAI/pythia-1.3b,1.3,,,,,generalist,,,
EleutherAI/pythia-1.4b-deduped,1.4,,https://huggingface.co/EleutherAI/pythia-1.4b-deduped,,,generalist,,,
EleutherAI/pythia-1.4b,1.4,,https://huggingface.co/EleutherAI/pythia-1.4b,,,generalist,,,
EleutherAI/pythia-125m-deduped,0.125,,,,,generalist,,,
EleutherAI/pythia-125m,0.125,,,,,generalist,,,
EleutherAI/pythia-12b-deduped,12,,https://huggingface.co/EleutherAI/pythia-12b-deduped,,,generalist,,,
EleutherAI/pythia-12b,12,,https://huggingface.co/EleutherAI/pythia-12b,,,generalist,,,
EleutherAI/pythia-13b-deduped,13,,,,,generalist,,,
EleutherAI/pythia-13b,13,,,,,generalist,,,
EleutherAI/pythia-160m-deduped,0.16,,https://huggingface.co/EleutherAI/pythia-160m-deduped,,,generalist,,,
EleutherAI/pythia-160m,0.16,,https://huggingface.co/EleutherAI/pythia-160m,,,generalist,,,
EleutherAI/pythia-1b-deduped,1,,https://huggingface.co/EleutherAI/pythia-1b-deduped,,,generalist,,,
EleutherAI/pythia-1b,1,,https://huggingface.co/EleutherAI/pythia-1b,,,generalist,,,
EleutherAI/pythia-2.8b-deduped,2.8,,https://huggingface.co/EleutherAI/pythia-2.8b-deduped,,,generalist,,,
EleutherAI/pythia-2.8b,2.8,,https://huggingface.co/EleutherAI/pythia-2.8b,,,generalist,,,
EleutherAI/pythia-350m-deduped,0.35,,,,,generalist,,,
EleutherAI/pythia-350m,0.35,,,,,generalist,,,
EleutherAI/pythia-410m-deduped,0.41,,https://huggingface.co/EleutherAI/pythia-410m-deduped,,,generalist,,,
EleutherAI/pythia-410m,0.41,,https://huggingface.co/EleutherAI/pythia-410m,,,generalist,,,
EleutherAI/pythia-6.7b-deduped,6.7,,,,,generalist,,,
EleutherAI/pythia-6.7b,6.7,,,,,generalist,,,
EleutherAI/pythia-6.9b-deduped,6.9,,https://huggingface.co/EleutherAI/pythia-6.9b-deduped,,,generalist,,,
EleutherAI/pythia-6.9b,6.9,,https://huggingface.co/EleutherAI/pythia-6.9b,,,generalist,,,
EleutherAI/pythia-70m-deduped,0.07,,https://huggingface.co/EleutherAI/pythia-70m-deduped,,,generalist,,,
EleutherAI/pythia-70m,0.07,,https://huggingface.co/EleutherAI/pythia-70m,,,generalist,,,
EleutherAI/pythia-800m,0.8,,,,,generalist,,,
elinas/ChronoEuryalis-70B,70,,,,,generalist,,,
elinas/chronos-13b-v2,13,,https://huggingface.co/elinas/chronos-13b-v2,,,generalist,,,
elinas/chronos-13b,13,,https://huggingface.co/elinas/chronos-13b,,,generalist,,,
elinas/chronos-33b,30,,https://huggingface.co/elinas/chronos-33b,,,generalist,,,
elinas/chronos-70b-v2,70,,https://huggingface.co/elinas/chronos-70b-v2,,,generalist,,ChatML,"{""temperature"": 0.75, ""min_p"": 0.1}"
elinas/Chronos-Gold-12B-1.0,12,,https://huggingface.co/elinas/Chronos-Gold-12B-1.0,,"This model builds upon it's base to leverage a dataset with a more varied corpus of text, giving this model an edge in creativity. Very strong in both RP and storytelling.",roleplay,story,,
elinas/chronos-mistral-7b,7,,https://huggingface.co/elinas/chronos-mistral-7b,,,generalist,,,
elinas/chronos007-70b,70,,https://huggingface.co/elinas/chronos007-70b,,,generalist,,,
Entropicengine/Pinecone-Titan-70b,70,,https://huggingface.co/Entropicengine/Pinecone-Titan-70b,,"The Pinecone Series is a collection of thoughtfully crafted model merges, combining the strengths of the best models among my personal favourites. Each version is curated to excel in roleplay, general knowledge, intelligence, and rich creative writing, while preserving the unique capabilities of its underlying models.",chat,,,
EVA-UNIT-01/EVA-Qwen2.5-14B-v0.2,14,,,,,generalist,,,
EVA-UNIT-01/EVA-Qwen2.5-32B-v0.2,32,,https://huggingface.co/EVA-UNIT-01/EVA-Qwen2.5-32B-v0.2,,,generalist,,,
EVA-UNIT-01/EVA-Qwen2.5-72B-v0.1,72,,,,,generalist,,,
EVA-UNIT-01/EVA-Qwen2.5-7B-v0.1,7,,,,,generalist,,,
facebook/opt-1.3b,1.3,,https://huggingface.co/facebook/opt-1.3b,,,generalist,,,
facebook/opt-125m,0.125,,https://huggingface.co/facebook/opt-125m,,,generalist,,,
facebook/opt-13b,13,,https://huggingface.co/facebook/opt-13b,,,generalist,,,
facebook/opt-2.7b,2.7,,https://huggingface.co/facebook/opt-2.7b,,,generalist,,,
facebook/opt-30b,30,,https://huggingface.co/facebook/opt-30b,,,generalist,,,
facebook/opt-350m,0.35,,https://huggingface.co/facebook/opt-350m,,,generalist,,,
facebook/opt-6.7b,6.7,,https://huggingface.co/facebook/opt-6.7b,,,generalist,,,
facebook/opt-66b,66,,https://huggingface.co/facebook/opt-66b,,,generalist,,,
facebook/opt-iml-1.3b,1.3,,https://huggingface.co/facebook/opt-iml-1.3b,,,generalist,,,
facebook/opt-iml-max-30b,30,,https://huggingface.co/facebook/opt-iml-max-30b,,,generalist,,,
facebook/xglm-1.7B,1.7,,https://huggingface.co/facebook/xglm-1.7B,,,generalist,,,
facebook/xglm-2.9B,2.9,,https://huggingface.co/facebook/xglm-2.9B,,,generalist,,,
facebook/xglm-4.5B,4.5,,https://huggingface.co/facebook/xglm-4.5B,,,generalist,,,
facebook/xglm-564M,0.564,,https://huggingface.co/facebook/xglm-564M,,,generalist,,,
facebook/xglm-7.5B,7.5,,https://huggingface.co/facebook/xglm-7.5B,,,generalist,,,
fblgit/UNA-TheBeagle-7b-v1,7,,https://huggingface.co/fblgit/UNA-TheBeagle-7b-v1,,,generalist,,,
FlareRebellion/WeirdCompound-v1.0-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.0-24b,,,chat,roleplay,Mistral,
FlareRebellion/WeirdCompound-v1.1-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.1-24b,,,chat,roleplay,Mistral,
FlareRebellion/WeirdCompound-v1.2-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.2-24b,,,chat,roleplay,Mistral,
FlareRebellion/WeirdCompound-v1.3-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.3-24b,,,chat,roleplay,Mistral,
FlareRebellion/WeirdCompound-v1.4-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.4-24b,,,chat,roleplay,Mistral,
FlareRebellion/WeirdCompound-v1.5-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.5-24b,,,chat,roleplay,Mistral,
FlareRebellion/WeirdCompound-v1.6-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.6-24b,,,chat,roleplay,Mistral,
FlareRebellion/WeirdCompound-v1.7-24b,24,,https://huggingface.co/FlareRebellion/WeirdCompound-v1.7-24b,,,chat,roleplay,Mistral,
FluffyKaeloky/Luminum-v0.1-123B,123,,https://huggingface.co/FluffyKaeloky/Luminum-v0.1-123B,,A merge of Lumimaid v0.2 123B and Magnum v2 123B with Mistral Large Instruct 2407 as its base. Claims to inherit Luminaid's vocabulary and Magnum's creativity while keeping Mistral Large's smarts.,generalist,,Mistral,
froggeric/WestLake-10.7B-v2,11,,https://huggingface.co/froggeric/WestLake-10.7B-v2,,RP focused model that excels across many tasks. Generally fairly reliable even outside of RP,roleplay,,Alpaca,
Goekdeniz-Guelmez/Josiefied-Qwen3-4B-abliterated-v1,4,,,,,generalist,,,
Goekdeniz-Guelmez/Josiefied-Qwen3-8B-abliterated-v1,8,,,,,generalist,,,
google/gemma-2-27b-it,27,Gemma 2 27B IT,https://huggingface.co/google/gemma-2-27b-it,,"Big brother of the Gemma 2 9b model. Incredibly knowledgable and logical, but even more of a pain to finetune without degrading quality. Even without any finetuning Gemma 2 27b accels across a wide range of tasks. Compared to the 9b version it is not considerbly more logical, but it does have far more creative range. Users with weaker hardware will still get a good experience with the 9b options like Gemma-2 9b SPPO.",generalist,,Gemma,
google/gemma-3-12b-it,12,,,,,generalist,,,
google/gemma-3-27b-it,27,,,,,generalist,,,
google/gemma-3-4b-it,4,,,,,generalist,,,
gpt2-large,0.774,,https://huggingface.co/openai-community/gpt2-large,,,generalist,,,
gpt2-medium,0.355,,https://huggingface.co/openai-community/gpt2-medium,,,generalist,,,
gpt2-xl,1.5,,https://huggingface.co/openai-community/gpt2-xl,,,generalist,,,
gpt2,0.124,,https://huggingface.co/openai-community/gpt2,,,generalist,,,
Gryphe/MythoMax-L2-13b,13,,https://huggingface.co/Gryphe/MythoMax-L2-13b,,,generalist,,,
Gryphe/Pantheon-Proto-RP-1.8-30B-A3B,17,,https://huggingface.co/Gryphe/Pantheon-Proto-RP-1.8-30B-A3B,Qwen/Qwen3-30B-A3B-Base,"This time the recipe focused on combining as many data sources as I possibly could, featuring synthetic data from Sonnet 3.5 + 3.7, ChatGPT 4o and Deepseek. These then went through an extensive rewriting pipeline to eliminate common AI cliches, with the hopeful intent of providing you a fresh experience.",chat,roleplay,ChatML,
Gryphe/Pantheon-RP-1.0-8b-Llama-3,8,,https://huggingface.co/Gryphe/Pantheon-RP-1.0-8b-Llama-3,,,chat,"assertive,roleplay",ChatML,
hakurei/lit-6B,6,,https://huggingface.co/hakurei/lit-6B,,,generalist,,,
hakurei/lotus-12B,12,,https://huggingface.co/hakurei/lotus-12B,,,generalist,,,
Hastagaras/Jamet-8B-L3-MK.V-Blackroot,8,,https://huggingface.co/Hastagaras/Jamet-8B-L3-MK.V-Blackroot,,,generalist,,,
Henk717/airochronos-33B,33,,https://huggingface.co/Henk717/airochronos-33B,,,generalist,,,
Henk717/chronoboros-33B,33,,https://huggingface.co/Henk717/chronoboros-33B,,,generalist,,,
Henk717/echidna-tiefigther-25,13,,https://huggingface.co/Henk717/echidna-tiefigther-25,,,generalist,,,
Henk717/spring-dragon,13,,https://huggingface.co/Henk717/spring-dragon,,,generalist,,,
Himitsui/Kaiju-11B,11,,https://huggingface.co/Himitsui/Kaiju-11B,,,generalist,,,
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,88,,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,,,generalist,,,
huihui-ai/DeepSeek-R1-Distill-Qwen-14B-abliterated-v2,14,,,,,generalist,,,
huihui-ai/DeepSeek-R1-Distill-Qwen-32B-abliterated,32,,,,,generalist,,,
huihui-ai/GLM-4-32B-0414-abliterated,32,,https://huggingface.co/huihui-ai/GLM-4-32B-0414-abliterated,,"Same incredible power as the original GLM-4-32B-0414, but decensored with abliteration.",chat,roleplay,,
huihui-ai/Qwen2.5-Coder-14B-Instruct-abliterated,14,,,,,generalist,,,
huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,32,,https://huggingface.co/huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,,,generalist,,,
IndexTeam/Index-1.9B-Chat,1.9,,https://huggingface.co/IndexTeam/Index-1.9B-Chat,,,generalist,,,
inflatebot/MN-12B-Mag-Mell-R1,12,,,,,generalist,popular,,
intervitens/mini-magnum-12b-v1.1,12,,https://huggingface.co/intervitens/mini-magnum-12b-v1.1,,,generalist,popular,,
jebcarter/psyonic-cetacean-20B,20,Psyonic Cetacean 20B,https://huggingface.co/jebcarter/psyonic-cetacean-20B,,"Older but extremely creative model that does well across a wide range of tasks but has some drawbacks. extremely high KV context size, being near 6gb per 4k context, and below average intelegence compared to modern models that will use the same memory. Great option for 16-24gb cards. Strongest when doing story/adventure but still great at KoboldAI flagship model. Excels across a wide variety of tasks, Very verbose and suitable for storytelling and RP. a Variant exists TiefighterLR-13b that may be better for Adventure mode. Alpaca RP focused model that excels across many tasks. Generally fairly reliable even outside of RP.",story,,Alpaca,
jondurbin/airoboros-33b-gpt4-1.2,33,,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.2,,,generalist,,,
jondurbin/airoboros-33b-gpt4-1.3,33,,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.3,,,generalist,,,
jondurbin/airoboros-33b-gpt4-1.4,33,,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.4,,,generalist,,,
jondurbin/airoboros-65b-gpt4-1.2,65,,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.2,,,generalist,,,
jondurbin/airoboros-65b-gpt4-1.3,65,,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.3,,,generalist,,,
jondurbin/airoboros-65b-gpt4-1.4,65,,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.4,,,generalist,,,
jondurbin/airoboros-l2-13b-2.2,13,,https://huggingface.co/jondurbin/airoboros-l2-13b-2.2,,,generalist,,,
jondurbin/airoboros-l2-7b-2.2,7,,https://huggingface.co/jondurbin/airoboros-l2-7b-2.2,,,generalist,,,
jondurbin/airoboros-m-7b-3.0,7,,https://huggingface.co/jondurbin/airoboros-m-7b-3.0,,,generalist,,,
